quarter,hb,simd,episodes,length_of_stay
2017Q3,Ayrshire and Arran,1,453,1783
2017Q4,Ayrshire and Arran,1,477,1949
2018Q1,Ayrshire and Arran,1,418,1320
2018Q2,Ayrshire and Arran,1,462,1676
2018Q3,Ayrshire and Arran,1,398,1425
2018Q4,Ayrshire and Arran,1,430,1411
2019Q1,Ayrshire and Arran,1,425,1365
2019Q2,Ayrshire and Arran,1,432,1368
2019Q3,Ayrshire and Arran,1,379,1468
2019Q4,Ayrshire and Arran,1,359,1368
2020Q1,Ayrshire and Arran,1,321,1164
2020Q2,Ayrshire and Arran,1,87,469
2020Q3,Ayrshire and Arran,1,212,893
2020Q4,Ayrshire and Arran,1,199,748
2021Q1,Ayrshire and Arran,1,96,600
2021Q2,Ayrshire and Arran,1,211,794
2021Q3,Ayrshire and Arran,1,152,831
2021Q4,Ayrshire and Arran,1,222,931
2022Q1,Ayrshire and Arran,1,180,841
2022Q2,Ayrshire and Arran,1,224,899
2022Q3,Ayrshire and Arran,1,288,1272
2017Q3,Ayrshire and Arran,2,380,1401
2017Q4,Ayrshire and Arran,2,342,1465
2018Q1,Ayrshire and Arran,2,303,1087
2018Q2,Ayrshire and Arran,2,349,1411
2018Q3,Ayrshire and Arran,2,347,1127
2018Q4,Ayrshire and Arran,2,337,1772
2019Q1,Ayrshire and Arran,2,402,1258
2019Q2,Ayrshire and Arran,2,354,1188
2019Q3,Ayrshire and Arran,2,339,1086
2019Q4,Ayrshire and Arran,2,326,1169
2020Q1,Ayrshire and Arran,2,267,1195
2020Q2,Ayrshire and Arran,2,70,281
2020Q3,Ayrshire and Arran,2,188,949
2020Q4,Ayrshire and Arran,2,173,653
2021Q1,Ayrshire and Arran,2,83,486
2021Q2,Ayrshire and Arran,2,188,746
2021Q3,Ayrshire and Arran,2,132,633
2021Q4,Ayrshire and Arran,2,165,743
2022Q1,Ayrshire and Arran,2,130,644
2022Q2,Ayrshire and Arran,2,192,914
2022Q3,Ayrshire and Arran,2,213,726
2017Q3,Ayrshire and Arran,3,270,850
2017Q4,Ayrshire and Arran,3,261,906
2018Q1,Ayrshire and Arran,3,242,1105
2018Q2,Ayrshire and Arran,3,238,651
2018Q3,Ayrshire and Arran,3,247,865
2018Q4,Ayrshire and Arran,3,302,956
2019Q1,Ayrshire and Arran,3,290,706
2019Q2,Ayrshire and Arran,3,297,1067
2019Q3,Ayrshire and Arran,3,259,863
2019Q4,Ayrshire and Arran,3,241,901
2020Q1,Ayrshire and Arran,3,247,1032
2020Q2,Ayrshire and Arran,3,68,185
2020Q3,Ayrshire and Arran,3,145,533
2020Q4,Ayrshire and Arran,3,117,552
2021Q1,Ayrshire and Arran,3,58,179
2021Q2,Ayrshire and Arran,3,156,523
2021Q3,Ayrshire and Arran,3,121,501
2021Q4,Ayrshire and Arran,3,123,525
2022Q1,Ayrshire and Arran,3,103,342
2022Q2,Ayrshire and Arran,3,144,516
2022Q3,Ayrshire and Arran,3,182,636
2017Q3,Ayrshire and Arran,4,256,996
2017Q4,Ayrshire and Arran,4,223,717
2018Q1,Ayrshire and Arran,4,182,607
2018Q2,Ayrshire and Arran,4,207,743
2018Q3,Ayrshire and Arran,4,210,825
2018Q4,Ayrshire and Arran,4,218,783
2019Q1,Ayrshire and Arran,4,247,657
2019Q2,Ayrshire and Arran,4,231,918
2019Q3,Ayrshire and Arran,4,231,805
2019Q4,Ayrshire and Arran,4,202,577
2020Q1,Ayrshire and Arran,4,191,620
2020Q2,Ayrshire and Arran,4,37,218
2020Q3,Ayrshire and Arran,4,84,260
2020Q4,Ayrshire and Arran,4,102,428
2021Q1,Ayrshire and Arran,4,46,158
2021Q2,Ayrshire and Arran,4,125,428
2021Q3,Ayrshire and Arran,4,96,473
2021Q4,Ayrshire and Arran,4,106,510
2022Q1,Ayrshire and Arran,4,92,375
2022Q2,Ayrshire and Arran,4,145,555
2022Q3,Ayrshire and Arran,4,140,502
2017Q3,Ayrshire and Arran,5,174,776
2017Q4,Ayrshire and Arran,5,159,690
2018Q1,Ayrshire and Arran,5,155,556
2018Q2,Ayrshire and Arran,5,149,787
2018Q3,Ayrshire and Arran,5,159,569
2018Q4,Ayrshire and Arran,5,164,1213
2019Q1,Ayrshire and Arran,5,205,684
2019Q2,Ayrshire and Arran,5,199,737
2019Q3,Ayrshire and Arran,5,142,452
2019Q4,Ayrshire and Arran,5,169,693
2020Q1,Ayrshire and Arran,5,151,495
2020Q2,Ayrshire and Arran,5,42,128
2020Q3,Ayrshire and Arran,5,90,201
2020Q4,Ayrshire and Arran,5,89,304
2021Q1,Ayrshire and Arran,5,32,139
2021Q2,Ayrshire and Arran,5,97,393
2021Q3,Ayrshire and Arran,5,70,333
2021Q4,Ayrshire and Arran,5,96,502
2022Q1,Ayrshire and Arran,5,72,258
2022Q2,Ayrshire and Arran,5,90,279
2022Q3,Ayrshire and Arran,5,118,443
2017Q3,Ayrshire and Arran,1,175,636
2017Q4,Ayrshire and Arran,1,220,910
2018Q1,Ayrshire and Arran,1,198,634
2018Q2,Ayrshire and Arran,1,205,616
2018Q3,Ayrshire and Arran,1,165,765
2018Q4,Ayrshire and Arran,1,196,622
2019Q1,Ayrshire and Arran,1,170,493
2019Q2,Ayrshire and Arran,1,180,546
2019Q3,Ayrshire and Arran,1,155,586
2019Q4,Ayrshire and Arran,1,176,646
2020Q1,Ayrshire and Arran,1,189,652
2020Q2,Ayrshire and Arran,1,51,262
2020Q3,Ayrshire and Arran,1,132,391
2020Q4,Ayrshire and Arran,1,137,488
2021Q1,Ayrshire and Arran,1,57,377
2021Q2,Ayrshire and Arran,1,152,498
2021Q3,Ayrshire and Arran,1,96,459
2021Q4,Ayrshire and Arran,1,175,714
2022Q1,Ayrshire and Arran,1,142,601
2022Q2,Ayrshire and Arran,1,149,561
2022Q3,Ayrshire and Arran,1,173,796
2017Q3,Ayrshire and Arran,2,175,609
2017Q4,Ayrshire and Arran,2,186,854
2018Q1,Ayrshire and Arran,2,155,459
2018Q2,Ayrshire and Arran,2,165,689
2018Q3,Ayrshire and Arran,2,170,600
2018Q4,Ayrshire and Arran,2,175,633
2019Q1,Ayrshire and Arran,2,213,668
2019Q2,Ayrshire and Arran,2,170,557
2019Q3,Ayrshire and Arran,2,172,584
2019Q4,Ayrshire and Arran,2,160,554
2020Q1,Ayrshire and Arran,2,155,505
2020Q2,Ayrshire and Arran,2,41,148
2020Q3,Ayrshire and Arran,2,127,412
2020Q4,Ayrshire and Arran,2,124,355
2021Q1,Ayrshire and Arran,2,53,140
2021Q2,Ayrshire and Arran,2,132,515
2021Q3,Ayrshire and Arran,2,91,370
2021Q4,Ayrshire and Arran,2,136,503
2022Q1,Ayrshire and Arran,2,92,458
2022Q2,Ayrshire and Arran,2,138,452
2022Q3,Ayrshire and Arran,2,162,614
2017Q3,Ayrshire and Arran,3,125,345
2017Q4,Ayrshire and Arran,3,133,398
2018Q1,Ayrshire and Arran,3,141,637
2018Q2,Ayrshire and Arran,3,124,349
2018Q3,Ayrshire and Arran,3,125,458
2018Q4,Ayrshire and Arran,3,159,546
2019Q1,Ayrshire and Arran,3,145,397
2019Q2,Ayrshire and Arran,3,158,594
2019Q3,Ayrshire and Arran,3,135,443
2019Q4,Ayrshire and Arran,3,139,444
2020Q1,Ayrshire and Arran,3,149,623
2020Q2,Ayrshire and Arran,3,37,83
2020Q3,Ayrshire and Arran,3,94,240
2020Q4,Ayrshire and Arran,3,86,428
2021Q1,Ayrshire and Arran,3,46,121
2021Q2,Ayrshire and Arran,3,106,309
2021Q3,Ayrshire and Arran,3,79,312
2021Q4,Ayrshire and Arran,3,102,404
2022Q1,Ayrshire and Arran,3,67,181
2022Q2,Ayrshire and Arran,3,95,300
2022Q3,Ayrshire and Arran,3,123,400
2017Q3,Ayrshire and Arran,4,95,402
2017Q4,Ayrshire and Arran,4,90,215
2018Q1,Ayrshire and Arran,4,76,241
2018Q2,Ayrshire and Arran,4,95,423
2018Q3,Ayrshire and Arran,4,88,435
2018Q4,Ayrshire and Arran,4,102,470
2019Q1,Ayrshire and Arran,4,104,304
2019Q2,Ayrshire and Arran,4,90,404
2019Q3,Ayrshire and Arran,4,110,299
2019Q4,Ayrshire and Arran,4,104,264
2020Q1,Ayrshire and Arran,4,112,315
2020Q2,Ayrshire and Arran,4,25,170
2020Q3,Ayrshire and Arran,4,55,154
2020Q4,Ayrshire and Arran,4,62,231
2021Q1,Ayrshire and Arran,4,28,63
2021Q2,Ayrshire and Arran,4,76,244
2021Q3,Ayrshire and Arran,4,60,245
2021Q4,Ayrshire and Arran,4,74,296
2022Q1,Ayrshire and Arran,4,65,244
2022Q2,Ayrshire and Arran,4,98,282
2022Q3,Ayrshire and Arran,4,80,297
2017Q3,Ayrshire and Arran,5,96,373
2017Q4,Ayrshire and Arran,5,81,388
2018Q1,Ayrshire and Arran,5,87,344
2018Q2,Ayrshire and Arran,5,69,547
2018Q3,Ayrshire and Arran,5,75,350
2018Q4,Ayrshire and Arran,5,102,248
2019Q1,Ayrshire and Arran,5,106,357
2019Q2,Ayrshire and Arran,5,102,404
2019Q3,Ayrshire and Arran,5,72,224
2019Q4,Ayrshire and Arran,5,98,229
2020Q1,Ayrshire and Arran,5,94,330
2020Q2,Ayrshire and Arran,5,26,71
2020Q3,Ayrshire and Arran,5,55,106
2020Q4,Ayrshire and Arran,5,64,221
2021Q1,Ayrshire and Arran,5,22,84
2021Q2,Ayrshire and Arran,5,55,195
2021Q3,Ayrshire and Arran,5,43,91
2021Q4,Ayrshire and Arran,5,61,338
2022Q1,Ayrshire and Arran,5,53,132
2022Q2,Ayrshire and Arran,5,61,171
2022Q3,Ayrshire and Arran,5,75,241
2017Q3,Ayrshire and Arran,1,274,1021
2017Q4,Ayrshire and Arran,1,252,884
2018Q1,Ayrshire and Arran,1,220,686
2018Q2,Ayrshire and Arran,1,255,1024
2018Q3,Ayrshire and Arran,1,231,640
2018Q4,Ayrshire and Arran,1,234,789
2019Q1,Ayrshire and Arran,1,251,810
2019Q2,Ayrshire and Arran,1,249,760
2019Q3,Ayrshire and Arran,1,219,724
2019Q4,Ayrshire and Arran,1,183,722
2020Q1,Ayrshire and Arran,1,130,500
2020Q2,Ayrshire and Arran,1,36,207
2020Q3,Ayrshire and Arran,1,75,402
2020Q4,Ayrshire and Arran,1,59,225
2021Q1,Ayrshire and Arran,1,39,223
2021Q2,Ayrshire and Arran,1,55,258
2021Q3,Ayrshire and Arran,1,54,339
2021Q4,Ayrshire and Arran,1,45,183
2022Q1,Ayrshire and Arran,1,38,240
2022Q2,Ayrshire and Arran,1,75,338
2022Q3,Ayrshire and Arran,1,115,476
2017Q3,Ayrshire and Arran,2,203,673
2017Q4,Ayrshire and Arran,2,155,520
2018Q1,Ayrshire and Arran,2,145,613
2018Q2,Ayrshire and Arran,2,181,624
2018Q3,Ayrshire and Arran,2,176,510
2018Q4,Ayrshire and Arran,2,160,761
2019Q1,Ayrshire and Arran,2,189,590
2019Q2,Ayrshire and Arran,2,180,521
2019Q3,Ayrshire and Arran,2,165,484
2019Q4,Ayrshire and Arran,2,163,540
2020Q1,Ayrshire and Arran,2,110,644
2020Q2,Ayrshire and Arran,2,30,110
2020Q3,Ayrshire and Arran,2,55,404
2020Q4,Ayrshire and Arran,2,45,262
2021Q1,Ayrshire and Arran,2,25,141
2021Q2,Ayrshire and Arran,2,50,113
2021Q3,Ayrshire and Arran,2,35,177
2021Q4,Ayrshire and Arran,2,25,159
2022Q1,Ayrshire and Arran,2,38,186
2022Q2,Ayrshire and Arran,2,54,231
2022Q3,Ayrshire and Arran,2,50,101
2017Q3,Ayrshire and Arran,3,142,496
2017Q4,Ayrshire and Arran,3,125,489
2018Q1,Ayrshire and Arran,3,100,418
2018Q2,Ayrshire and Arran,3,114,302
2018Q3,Ayrshire and Arran,3,120,390
2018Q4,Ayrshire and Arran,3,143,410
2019Q1,Ayrshire and Arran,3,145,309
2019Q2,Ayrshire and Arran,3,135,402
2019Q3,Ayrshire and Arran,3,124,420
2019Q4,Ayrshire and Arran,3,100,427
2020Q1,Ayrshire and Arran,3,95,324
2020Q2,Ayrshire and Arran,3,30,80
2020Q3,Ayrshire and Arran,3,50,288
2020Q4,Ayrshire and Arran,3,31,124
2021Q1,Ayrshire and Arran,3,12,58
2021Q2,Ayrshire and Arran,3,50,214
2021Q3,Ayrshire and Arran,3,40,150
2021Q4,Ayrshire and Arran,3,20,75
2022Q1,Ayrshire and Arran,3,35,160
2022Q2,Ayrshire and Arran,3,50,215
2022Q3,Ayrshire and Arran,3,60,236
2017Q3,Ayrshire and Arran,4,162,489
2017Q4,Ayrshire and Arran,4,133,501
2018Q1,Ayrshire and Arran,4,106,366
2018Q2,Ayrshire and Arran,4,112,320
2018Q3,Ayrshire and Arran,4,122,390
2018Q4,Ayrshire and Arran,4,116,313
2019Q1,Ayrshire and Arran,4,143,353
2019Q2,Ayrshire and Arran,4,139,412
2019Q3,Ayrshire and Arran,4,119,405
2019Q4,Ayrshire and Arran,4,98,313
2020Q1,Ayrshire and Arran,4,75,235
2020Q2,Ayrshire and Arran,4,10,48
2020Q3,Ayrshire and Arran,4,29,106
2020Q4,Ayrshire and Arran,4,40,197
2021Q1,Ayrshire and Arran,4,18,95
2021Q2,Ayrshire and Arran,4,49,184
2021Q3,Ayrshire and Arran,4,36,225
2021Q4,Ayrshire and Arran,4,30,130
2022Q1,Ayrshire and Arran,4,27,131
2022Q2,Ayrshire and Arran,4,47,273
2022Q3,Ayrshire and Arran,4,60,205
2017Q3,Ayrshire and Arran,5,78,276
2017Q4,Ayrshire and Arran,5,75,248
2018Q1,Ayrshire and Arran,5,68,212
2018Q2,Ayrshire and Arran,5,80,240
2018Q3,Ayrshire and Arran,5,82,219
2018Q4,Ayrshire and Arran,5,62,815
2019Q1,Ayrshire and Arran,5,100,320
2019Q2,Ayrshire and Arran,5,95,223
2019Q3,Ayrshire and Arran,5,70,197
2019Q4,Ayrshire and Arran,5,70,351
2020Q1,Ayrshire and Arran,5,57,165
2020Q2,Ayrshire and Arran,5,16,57
2020Q3,Ayrshire and Arran,5,35,65
2020Q4,Ayrshire and Arran,5,25,83
2021Q1,Ayrshire and Arran,5,10,14
2021Q2,Ayrshire and Arran,5,40,184
2021Q3,Ayrshire and Arran,5,25,198
2021Q4,Ayrshire and Arran,5,35,164
2022Q1,Ayrshire and Arran,5,19,126
2022Q2,Ayrshire and Arran,5,29,95
2022Q3,Ayrshire and Arran,5,40,191
2017Q3,Borders,1,32,106
2017Q4,Borders,1,26,111
2018Q1,Borders,1,11,19
2018Q2,Borders,1,25,35
2018Q3,Borders,1,18,59
2018Q4,Borders,1,12,57
2019Q1,Borders,1,17,37
2019Q2,Borders,1,26,77
2019Q3,Borders,1,22,84
2019Q4,Borders,1,15,24
2020Q1,Borders,1,12,34
2020Q2,Borders,1,5,5
2020Q3,Borders,1,5,10
2020Q4,Borders,1,5,25
2021Q1,Borders,1,NA,5
2021Q2,Borders,1,5,14
2021Q3,Borders,1,NA,6
2021Q4,Borders,1,10,14
2022Q1,Borders,1,5,10
2022Q2,Borders,1,5,32
2022Q3,Borders,1,10,18
2017Q3,Borders,2,56,187
2017Q4,Borders,2,47,90
2018Q1,Borders,2,30,73
2018Q2,Borders,2,57,256
2018Q3,Borders,2,54,102
2018Q4,Borders,2,43,151
2019Q1,Borders,2,47,85
2019Q2,Borders,2,51,106
2019Q3,Borders,2,53,131
2019Q4,Borders,2,58,115
2020Q1,Borders,2,35,100
2020Q2,Borders,2,10,24
2020Q3,Borders,2,11,20
2020Q4,Borders,2,33,84
2021Q1,Borders,2,11,16
2021Q2,Borders,2,22,69
2021Q3,Borders,2,35,134
2021Q4,Borders,2,35,162
2022Q1,Borders,2,11,22
2022Q2,Borders,2,20,54
2022Q3,Borders,2,17,32
2017Q3,Borders,3,116,320
2017Q4,Borders,3,113,277
2018Q1,Borders,3,72,168
2018Q2,Borders,3,124,411
2018Q3,Borders,3,138,374
2018Q4,Borders,3,136,410
2019Q1,Borders,3,105,228
2019Q2,Borders,3,132,257
2019Q3,Borders,3,143,321
2019Q4,Borders,3,128,297
2020Q1,Borders,3,77,169
2020Q2,Borders,3,30,71
2020Q3,Borders,3,35,97
2020Q4,Borders,3,69,158
2021Q1,Borders,3,34,101
2021Q2,Borders,3,74,233
2021Q3,Borders,3,52,141
2021Q4,Borders,3,65,219
2022Q1,Borders,3,36,103
2022Q2,Borders,3,41,154
2022Q3,Borders,3,53,135
2017Q3,Borders,4,97,301
2017Q4,Borders,4,91,338
2018Q1,Borders,4,64,195
2018Q2,Borders,4,78,178
2018Q3,Borders,4,88,262
2018Q4,Borders,4,105,289
2019Q1,Borders,4,78,153
2019Q2,Borders,4,89,286
2019Q3,Borders,4,99,222
2019Q4,Borders,4,75,176
2020Q1,Borders,4,66,140
2020Q2,Borders,4,25,66
2020Q3,Borders,4,26,64
2020Q4,Borders,4,42,96
2021Q1,Borders,4,25,77
2021Q2,Borders,4,60,250
2021Q3,Borders,4,51,113
2021Q4,Borders,4,59,171
2022Q1,Borders,4,30,88
2022Q2,Borders,4,29,58
2022Q3,Borders,4,25,50
2017Q3,Borders,5,24,78
2017Q4,Borders,5,20,42
2018Q1,Borders,5,17,50
2018Q2,Borders,5,20,61
2018Q3,Borders,5,31,94
2018Q4,Borders,5,17,59
2019Q1,Borders,5,15,29
2019Q2,Borders,5,16,38
2019Q3,Borders,5,25,48
2019Q4,Borders,5,26,61
2020Q1,Borders,5,12,32
2020Q2,Borders,5,NA,36
2020Q3,Borders,5,10,35
2020Q4,Borders,5,15,35
2021Q1,Borders,5,10,16
2021Q2,Borders,5,19,65
2021Q3,Borders,5,10,43
2021Q4,Borders,5,15,32
2022Q1,Borders,5,10,38
2022Q2,Borders,5,5,25
2022Q3,Borders,5,10,29
2017Q3,Borders,1,32,106
2017Q4,Borders,1,26,111
2018Q1,Borders,1,11,19
2018Q2,Borders,1,25,35
2018Q3,Borders,1,18,59
2018Q4,Borders,1,12,57
2019Q1,Borders,1,17,37
2019Q2,Borders,1,26,77
2019Q3,Borders,1,22,84
2019Q4,Borders,1,15,24
2020Q1,Borders,1,12,34
2020Q2,Borders,1,5,5
2020Q3,Borders,1,5,10
2020Q4,Borders,1,5,25
2021Q1,Borders,1,NA,5
2021Q2,Borders,1,5,14
2021Q3,Borders,1,NA,6
2021Q4,Borders,1,10,14
2022Q1,Borders,1,5,10
2022Q2,Borders,1,5,32
2022Q3,Borders,1,10,18
2017Q3,Borders,2,56,187
2017Q4,Borders,2,47,90
2018Q1,Borders,2,30,73
2018Q2,Borders,2,57,256
2018Q3,Borders,2,54,102
2018Q4,Borders,2,43,151
2019Q1,Borders,2,47,85
2019Q2,Borders,2,51,106
2019Q3,Borders,2,53,131
2019Q4,Borders,2,58,115
2020Q1,Borders,2,35,100
2020Q2,Borders,2,10,24
2020Q3,Borders,2,11,20
2020Q4,Borders,2,33,84
2021Q1,Borders,2,11,16
2021Q2,Borders,2,22,69
2021Q3,Borders,2,35,134
2021Q4,Borders,2,35,162
2022Q1,Borders,2,11,22
2022Q2,Borders,2,20,54
2022Q3,Borders,2,17,32
2017Q3,Borders,3,116,320
2017Q4,Borders,3,113,277
2018Q1,Borders,3,72,168
2018Q2,Borders,3,124,411
2018Q3,Borders,3,138,374
2018Q4,Borders,3,136,410
2019Q1,Borders,3,105,228
2019Q2,Borders,3,132,257
2019Q3,Borders,3,143,321
2019Q4,Borders,3,128,297
2020Q1,Borders,3,77,169
2020Q2,Borders,3,30,71
2020Q3,Borders,3,35,97
2020Q4,Borders,3,69,158
2021Q1,Borders,3,34,101
2021Q2,Borders,3,74,233
2021Q3,Borders,3,52,141
2021Q4,Borders,3,65,219
2022Q1,Borders,3,36,103
2022Q2,Borders,3,41,154
2022Q3,Borders,3,53,135
2017Q3,Borders,4,97,301
2017Q4,Borders,4,91,338
2018Q1,Borders,4,64,195
2018Q2,Borders,4,78,178
2018Q3,Borders,4,88,262
2018Q4,Borders,4,105,289
2019Q1,Borders,4,78,153
2019Q2,Borders,4,89,286
2019Q3,Borders,4,99,222
2019Q4,Borders,4,75,176
2020Q1,Borders,4,66,140
2020Q2,Borders,4,25,66
2020Q3,Borders,4,26,64
2020Q4,Borders,4,42,96
2021Q1,Borders,4,25,77
2021Q2,Borders,4,60,250
2021Q3,Borders,4,51,113
2021Q4,Borders,4,59,171
2022Q1,Borders,4,30,88
2022Q2,Borders,4,29,58
2022Q3,Borders,4,25,50
2017Q3,Borders,5,24,78
2017Q4,Borders,5,20,42
2018Q1,Borders,5,17,50
2018Q2,Borders,5,20,61
2018Q3,Borders,5,31,94
2018Q4,Borders,5,17,59
2019Q1,Borders,5,15,29
2019Q2,Borders,5,16,38
2019Q3,Borders,5,25,48
2019Q4,Borders,5,26,61
2020Q1,Borders,5,12,32
2020Q2,Borders,5,NA,36
2020Q3,Borders,5,10,35
2020Q4,Borders,5,15,35
2021Q1,Borders,5,10,16
2021Q2,Borders,5,19,65
2021Q3,Borders,5,10,43
2021Q4,Borders,5,15,32
2022Q1,Borders,5,10,38
2022Q2,Borders,5,5,25
2022Q3,Borders,5,10,29
2017Q3,Dumfries and Galloway,1,58,112
2017Q4,Dumfries and Galloway,1,44,198
2018Q1,Dumfries and Galloway,1,40,70
2018Q2,Dumfries and Galloway,1,46,91
2018Q3,Dumfries and Galloway,1,40,115
2018Q4,Dumfries and Galloway,1,25,105
2019Q1,Dumfries and Galloway,1,40,135
2019Q2,Dumfries and Galloway,1,30,90
2019Q3,Dumfries and Galloway,1,30,145
2019Q4,Dumfries and Galloway,1,30,138
2020Q1,Dumfries and Galloway,1,37,156
2020Q2,Dumfries and Galloway,1,10,30
2020Q3,Dumfries and Galloway,1,25,80
2020Q4,Dumfries and Galloway,1,18,170
2021Q1,Dumfries and Galloway,1,25,65
2021Q2,Dumfries and Galloway,1,25,75
2021Q3,Dumfries and Galloway,1,15,70
2021Q4,Dumfries and Galloway,1,20,74
2022Q1,Dumfries and Galloway,1,20,51
2022Q2,Dumfries and Galloway,1,20,90
2022Q3,Dumfries and Galloway,1,25,121
2017Q3,Dumfries and Galloway,2,175,455
2017Q4,Dumfries and Galloway,2,141,490
2018Q1,Dumfries and Galloway,2,160,467
2018Q2,Dumfries and Galloway,2,146,603
2018Q3,Dumfries and Galloway,2,150,446
2018Q4,Dumfries and Galloway,2,139,534
2019Q1,Dumfries and Galloway,2,105,366
2019Q2,Dumfries and Galloway,2,120,432
2019Q3,Dumfries and Galloway,2,110,428
2019Q4,Dumfries and Galloway,2,115,430
2020Q1,Dumfries and Galloway,2,81,317
2020Q2,Dumfries and Galloway,2,38,145
2020Q3,Dumfries and Galloway,2,85,275
2020Q4,Dumfries and Galloway,2,73,326
2021Q1,Dumfries and Galloway,2,55,225
2021Q2,Dumfries and Galloway,2,75,432
2021Q3,Dumfries and Galloway,2,45,178
2021Q4,Dumfries and Galloway,2,50,222
2022Q1,Dumfries and Galloway,2,71,342
2022Q2,Dumfries and Galloway,2,95,346
2022Q3,Dumfries and Galloway,2,90,325
2017Q3,Dumfries and Galloway,3,255,820
2017Q4,Dumfries and Galloway,3,210,890
2018Q1,Dumfries and Galloway,3,235,573
2018Q2,Dumfries and Galloway,3,230,930
2018Q3,Dumfries and Galloway,3,170,540
2018Q4,Dumfries and Galloway,3,173,524
2019Q1,Dumfries and Galloway,3,138,626
2019Q2,Dumfries and Galloway,3,153,631
2019Q3,Dumfries and Galloway,3,150,780
2019Q4,Dumfries and Galloway,3,165,593
2020Q1,Dumfries and Galloway,3,140,432
2020Q2,Dumfries and Galloway,3,57,233
2020Q3,Dumfries and Galloway,3,100,350
2020Q4,Dumfries and Galloway,3,110,500
2021Q1,Dumfries and Galloway,3,75,273
2021Q2,Dumfries and Galloway,3,100,400
2021Q3,Dumfries and Galloway,3,60,264
2021Q4,Dumfries and Galloway,3,70,420
2022Q1,Dumfries and Galloway,3,95,360
2022Q2,Dumfries and Galloway,3,120,455
2022Q3,Dumfries and Galloway,3,115,413
2017Q3,Dumfries and Galloway,4,100,305
2017Q4,Dumfries and Galloway,4,78,207
2018Q1,Dumfries and Galloway,4,80,441
2018Q2,Dumfries and Galloway,4,85,285
2018Q3,Dumfries and Galloway,4,90,354
2018Q4,Dumfries and Galloway,4,80,255
2019Q1,Dumfries and Galloway,4,60,348
2019Q2,Dumfries and Galloway,4,90,390
2019Q3,Dumfries and Galloway,4,60,260
2019Q4,Dumfries and Galloway,4,68,263
2020Q1,Dumfries and Galloway,4,60,238
2020Q2,Dumfries and Galloway,4,23,46
2020Q3,Dumfries and Galloway,4,45,186
2020Q4,Dumfries and Galloway,4,50,150
2021Q1,Dumfries and Galloway,4,40,135
2021Q2,Dumfries and Galloway,4,50,220
2021Q3,Dumfries and Galloway,4,33,160
2021Q4,Dumfries and Galloway,4,35,130
2022Q1,Dumfries and Galloway,4,35,380
2022Q2,Dumfries and Galloway,4,67,182
2022Q3,Dumfries and Galloway,4,50,172
2017Q3,Dumfries and Galloway,5,42,131
2017Q4,Dumfries and Galloway,5,43,85
2018Q1,Dumfries and Galloway,5,50,116
2018Q2,Dumfries and Galloway,5,50,241
2018Q3,Dumfries and Galloway,5,30,80
2018Q4,Dumfries and Galloway,5,32,89
2019Q1,Dumfries and Galloway,5,20,65
2019Q2,Dumfries and Galloway,5,25,128
2019Q3,Dumfries and Galloway,5,30,150
2019Q4,Dumfries and Galloway,5,35,125
2020Q1,Dumfries and Galloway,5,29,118
2020Q2,Dumfries and Galloway,5,10,40
2020Q3,Dumfries and Galloway,5,20,60
2020Q4,Dumfries and Galloway,5,25,80
2021Q1,Dumfries and Galloway,5,10,65
2021Q2,Dumfries and Galloway,5,20,99
2021Q3,Dumfries and Galloway,5,10,65
2021Q4,Dumfries and Galloway,5,20,65
2022Q1,Dumfries and Galloway,5,20,99
2022Q2,Dumfries and Galloway,5,25,65
2022Q3,Dumfries and Galloway,5,25,100
2017Q3,Dumfries and Galloway,2,NA,5
2018Q2,Dumfries and Galloway,2,5,5
2018Q4,Dumfries and Galloway,2,NA,10
2019Q1,Dumfries and Galloway,2,NA,5
2020Q1,Dumfries and Galloway,2,5,5
2020Q4,Dumfries and Galloway,2,5,NA
2018Q2,Dumfries and Galloway,3,NA,5
2019Q2,Dumfries and Galloway,3,NA,5
2020Q1,Dumfries and Galloway,3,5,NA
2017Q3,Dumfries and Galloway,1,58,112
2017Q4,Dumfries and Galloway,1,44,198
2018Q1,Dumfries and Galloway,1,44,76
2018Q2,Dumfries and Galloway,1,46,91
2018Q3,Dumfries and Galloway,1,40,116
2018Q4,Dumfries and Galloway,1,27,106
2019Q1,Dumfries and Galloway,1,41,138
2019Q2,Dumfries and Galloway,1,31,93
2019Q3,Dumfries and Galloway,1,30,147
2019Q4,Dumfries and Galloway,1,30,138
2020Q1,Dumfries and Galloway,1,37,156
2020Q2,Dumfries and Galloway,1,10,30
2020Q3,Dumfries and Galloway,1,25,79
2020Q4,Dumfries and Galloway,1,20,172
2021Q1,Dumfries and Galloway,1,25,65
2021Q2,Dumfries and Galloway,1,25,75
2021Q3,Dumfries and Galloway,1,15,72
2021Q4,Dumfries and Galloway,1,20,74
2022Q1,Dumfries and Galloway,1,20,51
2022Q2,Dumfries and Galloway,1,25,92
2022Q3,Dumfries and Galloway,1,25,121
2017Q3,Dumfries and Galloway,2,177,459
2017Q4,Dumfries and Galloway,2,141,493
2018Q1,Dumfries and Galloway,2,164,476
2018Q2,Dumfries and Galloway,2,152,610
2018Q3,Dumfries and Galloway,2,159,473
2018Q4,Dumfries and Galloway,2,148,563
2019Q1,Dumfries and Galloway,2,119,394
2019Q2,Dumfries and Galloway,2,123,454
2019Q3,Dumfries and Galloway,2,112,432
